name,lat,lon,pop
"Salt Lake City-Murray, UT Metro Area",40.7608,-111.891,1300762
"San Angelo, TX Metro Area",31.4638,-100.437,121629
"San Antonio-New Braunfels, TX Metro Area",29.4241,-98.4936,2763006
"San Diego-Chula Vista-Carlsbad, CA Metro Area",32.7157,-117.1611,3298799
"Sandusky, OH Metro Area",41.4481,-82.7071,113533
"San Francisco-Oakland-Fremont, CA Metro Area",37.7749,-122.4194,4648486
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",37.3382,-121.8863,1995484
"San Luis Obispo-Paso Robles, CA Metro Area",35.2828,-120.6596,281843
"Santa Cruz-Watsonville, CA Metro Area",36.9741,-122.0308,262406
"Santa Fe, NM Metro Area",35.687,-105.9378,157765
"Santa Maria-Santa Barbara, CA Metro Area",34.4208,-119.6982,444500
"Santa Rosa-Petaluma, CA Metro Area",38.4404,-122.7141,485375
"Savannah, GA Metro Area",32.0835,-81.0998,431589
"Scranton--Wilkes-Barre, PA Metro Area",41.409,-75.6624,574009
"Seattle-Tacoma-Bellevue, WA Metro Area",47.6062,-122.3321,4145494
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",27.8195,-80.4773,172139
"Sebring, FL Metro Area",27.4958,-81.4412,109778
"Sheboygan, WI Metro Area",43.7508,-87.7145,118331
"Sherman-Denison, TX Metro Area",33.6357,-96.6089,150532
"Shreveport-Bossier City, LA Metro Area",32.5252,-93.7502,383269
"Sierra Vista-Douglas, AZ Metro Area",31.5545,-110.3035,125773
"Sioux City, IA-NE-SD Metro Area",42.4999,-96.4003,145994
"Sioux Falls, SD-MN Metro Area",43.546,-96.7313,308266
"Slidell-Mandeville-Covington, LA Metro Area",30.2752,-89.7814,277615
"South Bend-Mishawaka, IN-MI Metro Area",41.6764,-86.252,325294
"Spartanburg, SC Metro Area",34.9496,-81.9321,395934
"Spokane-Spokane Valley, WA Metro Area",47.6588,-117.426,604962
"Springfield, IL Metro Area",39.7817,-89.6501,206308
"Springfield, MA Metro Area",42.1015,-72.5898,464151
"Springfield, MO Metro Area",37.209,-93.2923,496975
"Springfield, OH Metro Area",39.9242,-83.8088,134985
"State College, PA Metro Area",40.7934,-77.86,159805
"Staunton-Stuarts Draft, VA Metro Area",38.1496,-79.0717,128481
"Stockton-Lodi, CA Metro Area",37.9577,-121.2908,816108
"Sumter, SC Metro Area",33.9204,-80.3412,104776
"Syracuse, NY Metro Area",43.0481,-76.1474,655189
"Tallahassee, FL Metro Area",30.4518,-84.2807,397675
"Tampa-St. Petersburg-Clearwater, FL Metro Area",27.9506,-82.4572,3424560
"Terre Haute, IN Metro Area",39.4667,-87.4139,168874
"Texarkana, TX-AR Metro Area",33.4251,-94.0477,145576
"Toledo, OH Metro Area",41.6639,-83.5552,601396
"Topeka, KS Metro Area",39.0473,-95.6752,232648
"Traverse City, MI Metro Area",44.7631,-85.6206,156634
"Trenton-Princeton, NJ Metro Area",40.2171,-74.7429,392138
"Tucson, AZ Metro Area",32.2226,-110.9747,1080149
"Tulsa, OK Metro Area",36.154,-95.9928,1059803
"Tuscaloosa, AL Metro Area",33.2098,-87.5692,281963
"Twin Falls, ID Metro Area",42.563,-114.4609,122565
"Tyler, TX Metro Area",32.3513,-95.3011,249091
"Urban Honolulu, HI Metro Area",21.3069,-157.8583,998747
"Utica-Rome, NY Metro Area",43.1009,-75.2327,287932
"Valdosta, GA Metro Area",30.8327,-83.2785,152588
"Vallejo, CA Metro Area",38.1041,-122.2566,455101
"Victoria, TX Metro Area",28.8053,-97.0036,99170
"Vineland, NJ Metro Area",39.4862,-75.0255,155678
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area",36.8529,-75.978,1794278
"Visalia, CA Metro Area",36.3302,-119.2921,483546
"Waco, TX Metro Area",31.5493,-97.1467,307123
"Walla Walla, WA Metro Area",46.0646,-118.343,62068
"Warner Robins, GA Metro Area",32.613,-83.5996,204110
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.9072,-77.0369,6436489
"Waterbury-Shelton, CT Metro Area",41.5582,-73.0515,462220
"Waterloo-Cedar Falls, IA Metro Area",42.4928,-92.3426,170081
"Watertown-Fort Drum, NY Metro Area",43.9748,-75.9107,113140
"Wausau, WI Metro Area",44.9591,-89.6301,139091
"Weirton-Steubenville, WV-OH Metro Area",40.4,-80.6001,113239
"Wenatchee-East Wenatchee, WA Metro Area",47.4235,-120.3103,127023
"Wheeling, WV-OH Metro Area",40.064,-80.7209,135136
"Wichita, KS Metro Area",37.6872,-97.3301,661217
"Wichita Falls, TX Metro Area",33.9137,-98.4934,149869
"Wildwood-The Villages, FL Metro Area",28.9081,-82.0068,154693
"Williamsport, PA Metro Area",41.2412,-77.0011,113236
"Wilmington, NC Metro Area",34.2257,-77.9447,480522
"Winchester, VA-WV Metro Area",39.1857,-78.1633,149702
"Winston-Salem, NC Metro Area",36.0999,-80.2442,705187
"Worcester, MA Metro Area",42.2626,-71.8023,881248
"Yakima, WA Metro Area",46.6021,-120.5059,258523
"York-Hanover, PA Metro Area",39.9626,-76.7277,471240
"Youngstown-Warren, OH Metro Area",41.0998,-80.6495,426086
"Yuba City, CA Metro Area",39.1404,-121.6169,186014
"Yuma, AZ Metro Area",32.6927,-114.6277,220310
"Aguadilla, PR Metro Area",18.4274,-67.1541,250969
"Arecibo, PR Metro Area",18.4722,-66.7157,180071
"Guayama, PR Metro Area",17.9839,-66.1147,64546
"Mayagüez, PR Metro Area",18.2013,-67.1397,207205
"Ponce, PR Metro Area",18.011,-66.6141,265039
"San Juan-Bayamón-Caguas, PR Metro Area",18.4655,-66.1057,2035484
